rm -f vcs/dump.fsdb
python3 /home/maxma2/Documents/ECE511/mp3/sim/../bin/get_options.py clock
2000
cp ../inputs_* vcs/
cd vcs && ./top_tb -l simulation.log -exitstatus -suppress=ASLR_DETECTED_INFO \
	+TIMEOUT_ECE511=40000 \
	+CLOCK_PERIOD_PS_ECE511=2000
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Mar 23 15:56 2025
*Verdi* Loading libsscore_vcs202409.so
FSDB Dumper for VCS, Release Verdi_W-2024.09, Linux x86_64/64bit, 08/17/2024
(C) 1996 - 2024 by Synopsys, Inc.
*Verdi* : Create FSDB file 'dump.fsdb'
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
Time: 4969000, Core 2: State: CPU_WRITE, addr: 59, wdata: 47
Time: 4975000, Core 3: State: CPU_READ, addr: 25, wdata: 0
Time: 4981000, Core 0: State: CPU_READ, addr: 19, wdata: 0
Time: 4995000, Core 1: State: CPU_WRITE, addr: 11, wdata: 141
Time: 4999000, Core 1: State: CPU_READ, addr: 26, wdata: 0
Time: 5005000, Core 0: State: CPU_WRITE, addr: 50, wdata: 30
Time: 5021000, Core 2: State: CPU_READ, addr: 1, wdata: 0
Time: 5023000, Core 3: State: CPU_READ, addr: 0, wdata: 0
Time: 5035000, Core 1: State: CPU_READ, addr: 35, wdata: 0
Time: 5047000, Core 3: State: CPU_READ, addr: 21, wdata: 0
Time: 5055000, Core 0: State: CPU_WRITE, addr: 19, wdata: 170
Time: 5063000, Core 0: State: CPU_WRITE, addr: 63, wdata: 106
Time: 5065000, Core 2: State: CPU_WRITE, addr: 23, wdata: 194
Time: 5083000, Core 1: State: CPU_READ, addr: 27, wdata: 0
Time: 5095000, Core 3: State: CPU_WRITE, addr: 28, wdata: 185
Time: 5101000, Core 0: State: CPU_READ, addr: 16, wdata: 0
Time: 5113000, Core 2: State: CPU_WRITE, addr: 25, wdata: 26
Time: 5133000, Core 1: State: CPU_WRITE, addr: 29, wdata: 85
Time: 5143000, Core 3: State: CPU_READ, addr: 45, wdata: 0
Time: 5149000, Core 0: State: CPU_READ, addr: 48, wdata: 0
Time: 5155000, Core 1: State: CPU_WRITE, addr: 34, wdata: 248
Time: 5163000, Core 2: State: CPU_READ, addr: 13, wdata: 0
Time: 5167000, Core 3: State: CPU_WRITE, addr: 56, wdata: 140
Time: 5199000, Core 0: State: CPU_WRITE, addr: 28, wdata: 43
Time: 5203000, Core 1: State: CPU_READ, addr: 14, wdata: 0
Time: 5211000, Core 2: State: CPU_READ, addr: 48, wdata: 0
Time: 5215000, Core 3: State: CPU_WRITE, addr: 61, wdata: 47
Time: 5235000, Core 2: State: CPU_WRITE, addr: 53, wdata: 120
Time: 5247000, Core 0: State: CPU_WRITE, addr: 50, wdata: 212
Time: 5251000, Core 1: State: CPU_READ, addr: 53, wdata: 0
Time: 5253000, Core 0: State: CPU_READ, addr: 18, wdata: 0
